White,Black,Hispanic,Other,Total
66.86625910000001,26.195460999999998,3.8208692999999996,3.1174106,100.0
66.580534,2.3830032,7.6370945,23.4137238,100.0
54.13670979999999,3.9201081999999996,34.3826476,7.560534400000001,100.0
75.2227919,14.864260400000001,5.439906400000001,4.469600499999999,100.0
39.6918476,5.6190618,38.813836099999996,15.875254499999999,100.0
70.9853439,3.8925223,19.8959893,5.2241746,100.0
71.7500142,9.466917,12.3030096,6.4800592,100.0
64.631298,19.9199199,10.1323546,5.3275498,100.0
36.096000000000004,48.016,10.352,5.52,100.0
58.34484129999999,15.085036800000001,22.2555357,4.3140611,100.0
55.9741367,29.573379900000003,8.2985093,6.153974099999999,100.0
18.005728100000002,1.3491106,11.1546578,69.4905035,100.0
82.0874739,0.0,13.2350149,4.0508893,100.0
63.195636099999994,14.073298600000001,16.137970099999997,6.5930952000000005,100.0
82.2039245,9.0620859,5.2511199,3.4828696,100.0
86.2502071,2.9030655,6.1275891,4.7191384,100.0
77.7165749,5.6978325000000005,9.5500393,7.031976500000001,100.0
85.19617159999999,7.4644851999999995,3.9628282,3.376515,100.0
62.2242072,31.4962037,4.3166592,1.965163,100.0
94.6476965,1.2646793,0.7302017,3.3574224999999998,100.0
53.465363499999995,28.0864198,8.8837449,9.564471900000001,100.0
75.0049678,6.0118311,11.1722536,7.8124761000000005,100.0
76.8233804,13.6996737,4.281405400000001,5.1955405,100.0
82.7364935,5.3085188,4.691293,7.261812900000001,100.0
58.30523639999999,37.3598018,2.1055529,2.2259685,100.0
80.5996354,11.2617327,2.9948005,5.1438315,100.0
88.6577113,0.0,3.2824967000000003,7.625492400000001,100.0
78.5122164,4.270288,11.441972100000001,5.7755236,100.0
51.3355531,8.1502035,27.0477248,13.4665187,100.0
92.6692738,1.2192317,2.5381489,3.5733456000000006,100.0
58.516204900000005,12.1686414,20.1316214,9.182379800000001,100.0
41.7305532,1.4258509000000001,44.9582499,11.875579900000002,100.0
57.3958215,14.2032919,18.2430263,10.1578604,100.0
63.3567506,21.1658213,8.3745498,7.103928400000001,100.0
83.5737415,1.2952605000000001,2.5022078,12.614071199999998,100.0
80.9543111,11.9998238,3.5502488999999997,3.4964972999999997,100.0
64.61245410000001,7.168728000000001,8.3760363,19.8400987,100.0
78.18624279999999,1.5196624,10.9017009,9.3898051,100.0
79.6774676,10.5346915,5.750277700000001,4.0375631,100.0
76.03289790000001,5.7958394,13.149491999999999,5.0217707,100.0
65.8443326,27.720291200000002,3.8344387,2.6009375,100.0
83.7728444,1.4350546,4.1947749000000005,10.5973261,100.0
75.4947136,16.403661,4.6062806,3.4953448,100.0
42.187803100000004,11.4635793,40.5008187,5.8477989,100.0
81.3598356,1.1089853,11.752409300000002,5.7787698,100.0
94.0449073,1.1064107,1.2691181,3.5958347,100.0
65.4995385,19.069838,6.953454000000001,8.4771696,100.0
70.7019119,3.1467554,10.948883599999998,15.202449099999999,100.0
93.28733090000001,3.0858404999999998,0.9494894,2.6828595,100.0
82.5902635,5.2409383,6.641701400000001,5.5270967,100.0
85.6212601,0.0,9.1341077,4.1534671,100.0
